"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","31-May-2018","       3514.10","       1734.00","       1759.05","       1726.10","       1748.85","       1741.05","       1742.44","    5049371","          8798250473.70","     207998","    3447026","         68.27"
"TCS","EQ","01-Jun-2018","       1741.05","       1754.00","       1757.50","       1716.30","       1732.00","       1732.45","       1742.29","    1603856","          2794386298.35","      74272","     924751","         57.66"
"TCS","EQ","04-Jun-2018","       1732.45","       1745.00","       1749.00","       1712.60","       1742.00","       1744.25","       1730.25","    1681483","          2909393689.70","      96686","     928452","         55.22"
"TCS","EQ","05-Jun-2018","       1744.25","       1744.00","       1751.90","       1711.15","       1723.00","       1721.60","       1728.88","    2449568","          4235000687.90","     133067","    1492228","         60.92"
"TCS","EQ","06-Jun-2018","       1721.60","       1723.00","       1734.90","       1715.20","       1725.00","       1725.75","       1725.85","    2236512","          3859874684.10","      73770","    1573892","         70.37"
"TCS","EQ","07-Jun-2018","       1725.75","       1725.00","       1749.00","       1723.80","       1734.05","       1735.55","       1738.00","    2414762","          4196845765.20","     105531","    1639426","         67.89"
"TCS","EQ","08-Jun-2018","       1735.55","       1735.00","       1757.30","       1735.00","       1742.95","       1747.10","       1748.59","    2582138","          4515097488.70","      90908","    1640936","         63.55"
"TCS","EQ","11-Jun-2018","       1747.10","       1747.10","       1763.00","       1743.00","       1750.90","       1749.70","       1752.55","    2179378","          3819463189.45","     104681","    1659838","         76.16"
"TCS","EQ","12-Jun-2018","       1749.70","       1757.00","       1785.00","       1753.00","       1781.05","       1781.00","       1773.52","    4608875","          8173948345.10","     108707","    3580858","         77.69"
"TCS","EQ","13-Jun-2018","       1781.00","       1816.00","       1831.65","       1798.00","       1824.00","       1824.10","       1818.17","    5370983","          9765380711.80","     236378","    2862488","         53.30"
"TCS","EQ","14-Jun-2018","       1824.10","       1830.00","       1832.30","       1784.00","       1784.95","       1787.55","       1795.49","    3819998","          6858771088.20","     185231","    2405344","         62.97"
"TCS","EQ","15-Jun-2018","       1787.55","       1800.00","       1847.10","       1788.60","       1840.00","       1840.05","       1823.42","    9183574","         16745544383.35","     232555","    4247203","         46.25"
"TCS","EQ","18-Jun-2018","       1840.05","       1867.95","       1867.95","       1822.15","       1824.00","       1829.00","       1840.85","    4674987","          8605956299.90","     212032","    2287621","         48.93"
"TCS","EQ","19-Jun-2018","       1829.00","       1822.15","       1839.00","       1821.00","       1822.90","       1824.50","       1829.83","    3245034","          5937862115.25","     139033","    1712806","         52.78"
"TCS","EQ","20-Jun-2018","       1824.50","       1832.00","       1836.30","       1818.60","       1820.00","       1822.45","       1828.68","    3107695","          5682968753.90","     151059","    2297300","         73.92"
"TCS","EQ","21-Jun-2018","       1822.45","       1832.00","       1832.00","       1817.60","       1820.00","       1819.35","       1822.83","    2910659","          5305644225.80","     130989","    2119842","         72.83"
"TCS","EQ","22-Jun-2018","       1819.35","       1827.00","       1827.00","       1799.55","       1809.00","       1809.80","       1810.38","    2949458","          5339626532.70","     225703","    2149173","         72.87"
"TCS","EQ","25-Jun-2018","       1809.80","       1811.90","       1822.35","       1806.00","       1817.75","       1819.25","       1817.52","    2083217","          3786278981.15","     115086","    1348047","         64.71"
"TCS","EQ","26-Jun-2018","       1819.25","       1823.00","       1861.00","       1821.00","       1852.05","       1852.00","       1842.52","    4679712","          8622455574.95","     160270","    3197021","         68.32"
"TCS","EQ","27-Jun-2018","       1852.00","       1860.00","       1885.15","       1851.25","       1857.50","       1858.00","       1870.51","    4081208","          7633922937.85","     163411","    1967182","         48.20"
"TCS","EQ","28-Jun-2018","       1858.00","       1865.00","       1871.00","       1826.30","       1844.10","       1842.70","       1846.23","    4888125","          9024622355.45","     176902","    3110366","         63.63"
"TCS","EQ","29-Jun-2018","       1842.70","       1844.90","       1867.40","       1842.30","       1844.95","       1847.75","       1851.25","    3506276","          6490978437.60","     213525","    2265670","         64.62"
"TCS","EQ","02-Jul-2018","       1847.75","       1852.00","       1857.80","       1841.10","       1854.05","       1851.35","       1852.00","    2650290","          4908342579.90","     137325","    1969574","         74.32"
"TCS","EQ","03-Jul-2018","       1851.35","       1859.95","       1879.90","       1857.05","       1874.25","       1874.05","       1872.16","    3242233","          6069985147.50","     191297","    2047537","         63.15"
"TCS","EQ","04-Jul-2018","       1874.05","       1879.90","       1879.90","       1857.15","       1867.00","       1866.15","       1863.61","    2700614","          5032886447.20","     116958","    1997832","         73.98"
"TCS","EQ","05-Jul-2018","       1866.15","       1873.00","       1887.50","       1862.10","       1883.80","       1880.30","       1874.33","    2472571","          4634408415.65","      94620","    1580212","         63.91"
"TCS","EQ","06-Jul-2018","       1880.30","       1882.85","       1921.00","       1881.65","       1917.75","       1912.95","       1907.65","    3713781","          7084608223.60","     143673","    2110559","         56.83"
"TCS","EQ","09-Jul-2018","       1912.95","       1924.00","       1924.40","       1876.50","       1884.20","       1883.00","       1888.15","    6151747","         11615411506.80","     193730","    4089052","         66.47"
"TCS","EQ","10-Jul-2018","       1883.00","       1898.00","       1898.90","       1870.75","       1876.05","       1875.10","       1881.79","    5303302","          9979704601.25","     187687","    3366084","         63.47"
"TCS","EQ","11-Jul-2018","       1875.10","       1900.00","       1998.00","       1894.15","       1970.00","       1979.90","       1951.99","   22903802","         44708105351.40","     482657","    9308170","         40.64"
"TCS","EQ","12-Jul-2018","       1979.90","       1984.00","       1990.90","       1960.50","       1973.00","       1971.35","       1972.52","    6921701","         13653172983.90","     204057","    3235315","         46.74"
"TCS","EQ","13-Jul-2018","       1971.35","       1975.00","       1997.90","       1974.00","       1977.60","       1981.10","       1986.23","    4148185","          8239240068.00","     146909","    1571340","         37.88"
"TCS","EQ","16-Jul-2018","       1981.10","       1990.00","       1996.00","       1977.45","       1988.85","       1989.20","       1988.74","    2582159","          5135235030.60","     112338","    1428885","         55.34"
"TCS","EQ","17-Jul-2018","       1989.20","       1989.00","       2009.00","       1981.00","       2000.00","       2002.15","       1994.60","    3315492","          6613072315.45","     105130","    2074936","         62.58"
"TCS","EQ","18-Jul-2018","       2002.15","       2005.00","       2011.70","       1993.05","       2000.00","       2000.25","       2000.88","    2013869","          4029511535.60","      93022","    1182682","         58.73"
"TCS","EQ","19-Jul-2018","       2000.25","       2002.10","       2010.45","       1970.00","       1986.00","       1981.40","       1984.27","    1746318","          3465172736.00","      81270","     806524","         46.18"
"TCS","EQ","20-Jul-2018","       1981.40","       1984.90","       2000.00","       1984.00","       1998.10","       1996.60","       1993.61","    1934995","          3857631216.00","      97910","    1145691","         59.21"
"TCS","EQ","23-Jul-2018","       1996.60","       2001.00","       2009.95","       1986.00","       2001.10","       2005.65","       2005.83","    2086201","          4184572277.10","      88812","    1490091","         71.43"
"TCS","EQ","24-Jul-2018","       2005.65","       2015.00","       2015.00","       1984.15","       1996.45","       1999.00","       1998.52","    2038423","          4073820958.05","      96571","    1388444","         68.11"
"TCS","EQ","25-Jul-2018","       1999.00","       2001.90","       2002.00","       1968.40","       1977.50","       1981.50","       1979.25","    1535492","          3039127153.40","      92993","     878512","         57.21"
"TCS","EQ","26-Jul-2018","       1981.50","       1974.95","       1985.00","       1955.10","       1956.00","       1964.70","       1968.67","    3503036","          6896326862.90","     110618","    2533158","         72.31"
"TCS","EQ","27-Jul-2018","       1964.70","       1960.85","       1964.65","       1940.30","       1943.75","       1943.75","       1948.53","    2033977","          3963271946.50","     103516","    1389322","         68.31"
"TCS","EQ","30-Jul-2018","       1943.75","       1943.00","       1954.70","       1931.55","       1944.30","       1944.60","       1942.30","    1579251","          3067386014.45","      74802","     862487","         54.61"
"TCS","EQ","31-Jul-2018","       1944.60","       1942.00","       1947.00","       1928.00","       1947.00","       1940.20","       1934.85","    2204803","          4265970111.15","     125163","    1494920","         67.80"
"TCS","EQ","01-Aug-2018","       1940.20","       1949.95","       1981.55","       1949.80","       1973.00","       1976.50","       1972.85","    2425180","          4784507538.70","      94019","    1409120","         58.10"
"TCS","EQ","02-Aug-2018","       1976.50","       1980.00","       1985.00","       1945.00","       1947.50","       1948.40","       1960.41","    1509287","          2958815209.40","      85680","     842778","         55.84"
"TCS","EQ","03-Aug-2018","       1948.40","       1956.50","       1982.05","       1956.50","       1978.00","       1979.45","       1973.58","    1505131","          2970498995.40","      91920","     938806","         62.37"
"TCS","EQ","06-Aug-2018","       1979.45","       1997.00","       1998.95","       1972.25","       1975.05","       1975.55","       1981.25","    1532249","          3035769014.75","      62917","     920478","         60.07"
"TCS","EQ","07-Aug-2018","       1975.55","       1978.20","       1979.15","       1960.50","       1969.00","       1967.35","       1967.34","    1353560","          2662908261.65","      95485","     914572","         67.57"
"TCS","EQ","08-Aug-2018","       1967.35","       1972.00","       1978.30","       1962.00","       1975.00","       1974.00","       1969.57","    1315062","          2590100268.35","      78555","     902368","         68.62"
"TCS","EQ","09-Aug-2018","       1974.00","       1980.00","       1980.80","       1966.00","       1978.00","       1974.35","       1974.51","    2060297","          4068073026.60","      88956","    1627842","         79.01"
"TCS","EQ","10-Aug-2018","       1974.35","       1980.95","       1996.50","       1972.05","       1992.00","       1993.10","       1985.67","    2784105","          5528317088.35","     105306","    2064227","         74.14"
"TCS","EQ","13-Aug-2018","       1993.10","       1997.80","       2004.25","       1990.00","       1999.50","       2000.15","       1998.04","    3559575","          7112184424.50","     176860","    2630963","         73.91"
"TCS","EQ","14-Aug-2018","       2000.15","       1992.00","       2024.60","       1982.40","       2000.00","       2003.55","       2010.34","    3311765","          6657770585.30","     120349","    1934826","         58.42"
"TCS","EQ","16-Aug-2018","       2003.55","       2000.30","       2020.05","       1995.00","       2009.10","       2008.50","       2008.49","    2152065","          4322407891.55","     153660","    1390016","         64.59"
"TCS","EQ","17-Aug-2018","       2008.50","       2013.85","       2021.90","       2004.00","       2010.00","       2012.75","       2012.85","    1213731","          2443058585.35","     114738","     719022","         59.24"
"TCS","EQ","20-Aug-2018","       2012.75","       2024.00","       2024.00","       2003.70","       2014.15","       2009.95","       2011.43","    1587032","          3192197146.60","     125610","    1020783","         64.32"
"TCS","EQ","21-Aug-2018","       2009.95","       2010.15","       2024.00","       2004.00","       2014.00","       2017.65","       2015.38","    1376866","          2774903727.95","      67624","     826204","         60.01"
"TCS","EQ","23-Aug-2018","       2017.65","       2022.80","       2038.00","       2020.30","       2033.90","       2035.10","       2030.81","    3046791","          6187460520.70","     147069","    2229341","         73.17"
"TCS","EQ","24-Aug-2018","       2035.10","       2035.10","       2046.00","       2031.00","       2041.60","       2043.00","       2041.86","    1570533","          3206801587.60","      89779","    1071112","         68.20"
"TCS","EQ","27-Aug-2018","       2043.00","       2043.00","       2059.00","       2035.00","       2050.05","       2050.90","       2051.79","    1532702","          3144788538.70","      95164","    1066284","         69.57"
"TCS","EQ","28-Aug-2018","       2050.90","       2055.00","       2072.00","       2052.00","       2069.95","       2069.20","       2065.50","    1987983","          4106175143.60","     108533","    1297603","         65.27"
"TCS","EQ","29-Aug-2018","       2069.20","       2072.50","       2076.60","       2045.60","       2073.25","       2072.00","       2065.10","    1525867","          3151066991.15","      88327","     896703","         58.77"
"TCS","EQ","30-Aug-2018","       2072.00","       2068.00","       2085.00","       2065.50","       2081.25","       2082.40","       2078.06","    2408020","          5003999131.15","     125517","    1793156","         74.47"
"TCS","EQ","31-Aug-2018","       2082.40","       2082.30","       2092.00","       2074.00","       2078.00","       2078.40","       2082.10","    2504554","          5214722720.85","     137612","    1422197","         56.78"
"TCS","EQ","03-Sep-2018","       2078.40","       2084.80","       2090.00","       2048.40","       2050.30","       2052.90","       2072.50","    1439711","          2983803308.90","      66713","     816070","         56.68"
"TCS","EQ","04-Sep-2018","       2052.90","       2059.80","       2104.75","       2056.95","       2100.00","       2098.90","       2093.77","    4420803","          9256152898.55","     272369","    2931637","         66.31"
"TCS","EQ","05-Sep-2018","       2098.90","       2100.00","       2107.25","       2075.05","       2077.00","       2079.25","       2086.52","    1681106","          3507659103.70","     125377","    1034014","         61.51"
"TCS","EQ","06-Sep-2018","       2079.25","       2075.00","       2081.50","       2060.30","       2074.50","       2075.30","       2070.41","    2238097","          4633767811.50","     123504","    1585975","         70.86"
"TCS","EQ","07-Sep-2018","       2075.30","       2079.30","       2084.00","       2065.40","       2078.75","       2079.85","       2076.27","    1312182","          2724446612.15","      91094","     898428","         68.47"
"TCS","EQ","10-Sep-2018","       2079.85","       2084.40","       2093.40","       2074.25","       2084.00","       2080.75","       2083.98","    1530539","          3189620194.90","      96119","    1177046","         76.90"
"TCS","EQ","11-Sep-2018","       2080.75","       2089.00","       2089.00","       2042.20","       2045.15","       2046.25","       2055.93","    3679745","          7565314867.50","     153230","    2033267","         55.26"
"TCS","EQ","12-Sep-2018","       2046.25","       2052.35","       2068.90","       2040.00","       2045.00","       2043.95","       2048.93","    2307661","          4728228780.20","     135528","    1632725","         70.75"
"TCS","EQ","14-Sep-2018","       2043.95","       2044.00","       2071.55","       2018.15","       2066.95","       2065.40","       2042.02","    3642038","          7437129776.35","     160266","    2334308","         64.09"
"TCS","EQ","17-Sep-2018","       2065.40","       2070.00","       2077.80","       2054.55","       2072.00","       2074.15","       2067.17","    1033857","          2137157571.10","      66371","     547913","         53.00"
"TCS","EQ","18-Sep-2018","       2074.15","       2073.00","       2078.80","       2057.60","       2074.00","       2070.75","       2069.75","    1456507","          3014609448.25","      77936","     978158","         67.16"
"TCS","EQ","19-Sep-2018","       2070.75","       2071.90","       2089.00","       2066.85","       2076.00","       2077.90","       2081.53","    1301268","          2708622535.50","     122321","     893572","         68.67"
"TCS","EQ","21-Sep-2018","       2077.90","       2077.00","       2121.00","       2050.15","       2111.90","       2103.15","       2083.75","    4508530","          9394632968.15","     163985","    3097568","         68.70"
"TCS","EQ","24-Sep-2018","       2103.15","       2115.00","       2210.50","       2098.15","       2208.00","       2198.45","       2168.27","    3032226","          6574669912.90","     134605","    1315871","         43.40"
"TCS","EQ","25-Sep-2018","       2198.45","       2204.90","       2211.90","       2153.80","       2183.10","       2183.20","       2186.15","    2868778","          6271565161.10","     141519","    1361286","         47.45"
"TCS","EQ","26-Sep-2018","       2183.20","       2187.00","       2199.00","       2135.10","       2147.15","       2142.15","       2161.80","    1970951","          4260808099.45","      95921","    1029552","         52.24"
"TCS","EQ","27-Sep-2018","       2142.15","       2141.90","       2209.70","       2135.80","       2185.00","       2188.85","       2175.57","    3311802","          7205048027.40","     110444","    2154576","         65.06"
"TCS","EQ","28-Sep-2018","       2188.85","       2178.00","       2190.00","       2158.85","       2186.00","       2183.70","       2177.54","    2904371","          6324389223.40","     150520","    1991218","         68.56"
"TCS","EQ","01-Oct-2018","       2183.70","       2190.90","       2275.95","       2190.35","       2250.30","       2255.55","       2242.36","    3772208","          8458652684.90","     201352","    1984270","         52.60"
"TCS","EQ","03-Oct-2018","       2255.55","       2250.30","       2255.00","       2155.60","       2156.65","       2162.85","       2195.08","    3902322","          8565892400.85","     205361","    2169318","         55.59"
"TCS","EQ","04-Oct-2018","       2162.85","       2156.60","       2156.65","       2056.35","       2063.00","       2064.80","       2084.35","    4762419","          9926539004.55","     190870","    2569525","         53.95"
"TCS","EQ","05-Oct-2018","       2064.80","       2050.00","       2120.00","       2020.90","       2100.00","       2102.65","       2079.05","    3417624","          7105425699.55","     141442","    1731277","         50.66"
"TCS","EQ","08-Oct-2018","       2102.65","       2102.65","       2122.20","       2048.15","       2077.40","       2077.55","       2074.99","    2010154","          4171051462.05","     133651","     757445","         37.68"
"TCS","EQ","09-Oct-2018","       2077.55","       2080.35","       2107.65","       2053.20","       2093.20","       2091.80","       2086.07","    1867130","          3894967407.80","      95316","     945345","         50.63"
"TCS","EQ","10-Oct-2018","       2091.80","       2100.00","       2105.95","       2029.00","       2044.00","       2043.60","       2063.10","    2749573","          5672634238.60","     185433","    1502793","         54.66"
"TCS","EQ","11-Oct-2018","       2043.60","       1985.00","       2013.00","       1941.00","       1995.00","       1979.95","       1984.80","    4700256","          9329052362.35","     217064","    2021364","         43.01"
"TCS","EQ","12-Oct-2018","       1979.95","       1978.00","       1978.00","       1903.00","       1920.00","       1918.30","       1927.35","    9373289","         18065633066.80","     337356","    2762121","         29.47"
"TCS","EQ","15-Oct-2018","       1918.30","       1940.00","       1955.55","       1920.00","       1954.60","       1949.50","       1939.74","    2638151","          5117323443.30","     102337","     763748","         28.95"
"TCS","EQ","16-Oct-2018","       1949.50","       1958.00","       1971.90","       1935.00","       1964.05","       1962.30","       1952.66","    2815425","          5497567674.45","     116402","    1452366","         51.59"
"TCS","EQ","17-Oct-2018","       1962.30","       1970.00","       1989.00","       1920.00","       1930.00","       1929.40","       1945.40","    2779207","          5406659605.95","     149723","    1740869","         62.64"
"TCS","EQ","19-Oct-2018","       1929.40","       1929.00","       1929.00","       1870.05","       1920.00","       1913.20","       1896.96","    3428776","          6504263185.65","     152721","    2021191","         58.95"
"TCS","EQ","22-Oct-2018","       1913.20","       1914.00","       1916.00","       1886.95","       1900.25","       1903.00","       1903.03","    1778496","          3384527484.40","     104583","    1098447","         61.76"
"TCS","EQ","23-Oct-2018","       1903.00","       1888.00","       1898.00","       1837.00","       1847.75","       1843.65","       1865.59","    2752811","          5135609621.30","     150962","    1768972","         64.26"
"TCS","EQ","24-Oct-2018","       1843.65","       1852.05","       1874.00","       1811.10","       1865.50","       1848.50","       1841.95","    2735913","          5039409502.55","     143163","    1233577","         45.09"
"TCS","EQ","25-Oct-2018","       1848.50","       1844.00","       1876.90","       1825.05","       1845.00","       1853.00","       1859.30","    2507233","          4661706320.60","     160372","    1384218","         55.21"
"TCS","EQ","26-Oct-2018","       1853.00","       1853.90","       1853.90","       1791.10","       1796.00","       1799.10","       1813.56","    2285970","          4145736813.30","     166483","    1227023","         53.68"
"TCS","EQ","29-Oct-2018","       1799.10","       1808.70","       1877.95","       1784.35","       1866.00","       1871.00","       1832.62","    2609483","          4782188593.40","     119651","    1435920","         55.03"
"TCS","EQ","30-Oct-2018","       1871.00","       1867.00","       1909.40","       1845.00","       1894.00","       1894.80","       1890.59","    2404883","          4546640692.80","     125360","    1105832","         45.98"
"TCS","EQ","31-Oct-2018","       1894.80","       1900.00","       1943.90","       1875.45","       1934.60","       1938.15","       1915.93","    2769190","          5305567326.85","     155493","    1465913","         52.94"
"TCS","EQ","01-Nov-2018","       1938.15","       1943.65","       1944.35","       1901.30","       1928.00","       1935.75","       1918.75","    2769759","          5314468623.65","     136593","    1759583","         63.53"
"TCS","EQ","02-Nov-2018","       1935.75","       1934.20","       1954.60","       1905.00","       1913.45","       1913.45","       1926.04","    1818635","          3502756049.75","      89292","     770182","         42.35"
"TCS","EQ","05-Nov-2018","       1913.45","       1910.00","       1927.35","       1884.75","       1894.00","       1890.85","       1901.41","    1713366","          3257810198.80","      97267","     932470","         54.42"
"TCS","EQ","06-Nov-2018","       1890.85","       1894.00","       1937.50","       1891.00","       1930.00","       1932.70","       1926.88","    1398710","          2695142003.45","      81458","     581307","         41.56"
"TCS","EQ","07-Nov-2018","       1932.70","       1940.00","       1949.00","       1937.00","       1941.00","       1942.15","       1942.26","     144530","           280714185.30","       9190","      41471","         28.69"
"TCS","EQ","09-Nov-2018","       1942.15","       1961.00","       1961.95","       1905.00","       1908.00","       1909.20","       1918.61","    2570479","          4931753732.35","     201582","    1692526","         65.84"
"TCS","EQ","12-Nov-2018","       1909.20","       1908.50","       1946.10","       1908.50","       1917.80","       1914.85","       1928.01","    2552008","          4920284833.90","      94374","    1323167","         51.85"
"TCS","EQ","13-Nov-2018","       1914.85","       1915.00","       1939.00","       1903.00","       1936.20","       1934.95","       1927.95","    1418432","          2734662510.75","      60182","     724102","         51.05"
"TCS","EQ","14-Nov-2018","       1934.95","       1925.00","       1929.90","       1870.00","       1880.00","       1880.65","       1883.81","    2422318","          4563195896.65","     112536","    1410903","         58.25"
"TCS","EQ","15-Nov-2018","       1880.65","       1864.00","       1899.00","       1857.60","       1877.00","       1872.85","       1881.50","    1829123","          3441500866.15","     132944","     746855","         40.83"
"TCS","EQ","16-Nov-2018","       1872.85","       1889.00","       1899.80","       1870.25","       1889.00","       1886.60","       1883.01","    1829729","          3445403284.00","      86826","    1011076","         55.26"
"TCS","EQ","19-Nov-2018","       1886.60","       1899.00","       1907.35","       1864.30","       1902.00","       1902.45","       1883.58","    1740628","          3278604708.10","      81373","     964132","         55.39"
"TCS","EQ","20-Nov-2018","       1902.45","       1902.00","       1902.00","       1874.20","       1880.00","       1878.25","       1883.47","    1190182","          2241673953.05","      60265","     569446","         47.85"
"TCS","EQ","21-Nov-2018","       1878.25","       1871.00","       1871.05","       1798.55","       1813.00","       1812.00","       1813.73","    3840461","          6965554445.00","     182675","    1879471","         48.94"
"TCS","EQ","22-Nov-2018","       1812.00","       1820.00","       1847.60","       1809.95","       1816.20","       1812.55","       1830.63","    3194219","          5847440797.40","     139414","    1785075","         55.88"
"TCS","EQ","26-Nov-2018","       1812.55","       1819.00","       1860.00","       1784.50","       1846.00","       1846.10","       1813.41","    4333177","          7857828743.15","     203328","    2541269","         58.65"
"TCS","EQ","27-Nov-2018","       1846.10","       1854.00","       1897.90","       1835.35","       1895.00","       1890.25","       1864.24","    3344839","          6235572685.10","     143244","    1708874","         51.09"
"TCS","EQ","28-Nov-2018","       1890.25","       1889.00","       1989.00","       1882.50","       1985.05","       1983.90","       1951.77","    5313249","         10370244428.75","     227744","    2551399","         48.02"
"TCS","EQ","29-Nov-2018","       1983.90","       1997.00","       1997.00","       1942.55","       1970.00","       1960.55","       1964.64","    4035441","          7928194385.75","     160612","    1363605","         33.79"
"TCS","EQ","30-Nov-2018","       1960.55","       1966.00","       1991.00","       1959.85","       1974.80","       1968.25","       1972.18","    5268901","         10391195273.15","     205076","    3365155","         63.87"
